;snmae;dnmae;z;sname;dname;z
1750;Aloha ;ABC Unified;-0.0925511734;Aloha ;ABC Unified;-1.0562746617
1751;Charles J. Carver ;ABC Unified;1.7821989243;Carver (Charles J.) ;ABC Unified;1.4323760721
1754;John F. Kennedy ;ABC Unified;-0.3760450421;Melbourne (Ella P.) ;ABC Unified;-1.4428360326
1755;John H. Niemes ;ABC Unified;1.9029163092;Kennedy (John F.) ;ABC Unified;-1.432087446
1756;Luther Burbank ;ABC Unified;0.8227979408;Niemes (John H.) ;ABC Unified;0.4793937818
1757;Palms ;ABC Unified;0.6913722391;Burbank (Luther) ;ABC Unified;-0.828929697
1759;William F. Elliott ;ABC Unified;-1.7953615474;Palms ;ABC Unified;-1.4733165328
1760;Willow ;ABC Unified;0.3882852764;Elliott (William F) ;ABC Unified;1.2084902913
1766;Cecil B. Stowers ;ABC Unified;-2.2332366999;Stowers(Cecil B.) ;ABC Unified;0.8004203317
1767;Cerritos ;ABC Unified;-3.9263640545;Cerritos ;ABC Unified;0.0567432537
1768;Benito Juarez ;ABC Unified;0.7747915251;Juarez (Benito) ;ABC Unified;-2.3037786837
1769;Bragg ;ABC Unified;-0.2286636674;Bragg ;ABC Unified;0.5786009368
1770;Frank C. Leal ;ABC Unified;-0.5695686241;Leal (Frank C.) ;ABC Unified;-0.7131500949
1771;Joe A. Gonsalves ;ABC Unified;-1.3911928229;Gonsalves (Joe A.) ;ABC Unified;0.8394984433
1772;Helen Wittmann ;ABC Unified;-0.0289093932;Wittmann (Helen) ;ABC Unified;-0.5481789662
1773;Patricia Nixon ;ABC Unified;0.137069987;Nixon (Patricia) ;ABC Unified;-0.805542334
4919;Bowman Charter;Ackerman Charter;-0.0171886697;Bowman Charter;Ackerman Charter;3.3587518605
3760;Agua Dulce ;Acton-Agua Dulce Unified;0.0678329614;Albert Einstein Academy ;Acton-Agua Dulce Unified;-0.7575552322
3762;Meadowlark ;Acton-Agua Dulce Unified;-0.5794350822;Hope Charter Academy;Acton-Agua Dulce Unified;-3.4526536985
5910;West Creek ;Adelanto ;-1.2843066162;Academy of Arts and Sciences: Los Angeles (K-8);Acton-Agua Dulce Unified;-3.9531460636
5915;Eagle Ranch;Adelanto ;1.7084675382;Albert Einstein Academy for Letters, Arts & Scienc;Acton-Agua Dulce Unified;1.3293667995
5919;Morgan/Kincaid Preparatory School of Int;Adelanto ;0.3686840495;Meadowlark ;Acton-Agua Dulce Unified;0.4373986569
3;FAME Public Charter;Alameda County Office of Educa;-2.0774115194;George Visual and Performing Arts Magnet and Middl;Adelanto ;1.4746363214
5;Aspire California College Preparatory Ac;Alameda County Office of Educa;-0.5264401909;Theodore Vick ;Adelanto ;-5.4612887863
6;Community School for Creative Education;Alameda County Office of Educa;0.8557348366;Victoria Magathan ;Adelanto ;-0.4729261444
7;Urban Montessori Charter;Alameda County Office of Educa;1.5454227801;West Creek ;Adelanto ;-2.8426007589
13;Ruby Bridges ;Alameda Unified;0.3015127836;Gus Franklin;Adelanto ;0.2028184649
14;Nea Community Learning Center;Alameda Unified;0.6144413757;Eagle Ranch;Adelanto ;0.7113063776
16;Maya Lin;Alameda Unified;0.6952357977;Donald F. Bradach ;Adelanto ;-1.3807849745
21;Donald D. Lum ;Alameda Unified;-1.3875491307;Morgan/Kincaid Preparatory School of Integrated St;Adelanto ;-0.2394164765
22;Edison ;Alameda Unified;0.2541185031;FAME Public Charter;Alameda County Office of Education;-1.4205277631
23;Frank Otis ;Alameda Unified;-3.510046493;Community School for Creative Education;Alameda County Office of Education;0.2546654551
24;Franklin ;Alameda Unified;0.0301722453;Urban Montessori Charter;Alameda County Office of Education;3.1178369236
