sname;sname;dname;z
2121;Aloha ;ABC Unified;-1.0562746617
2122;Carver (Charles J.) ;ABC Unified;1.4323760721
2123;Melbourne (Ella P.) ;ABC Unified;-1.4428360326
2125;Kennedy (John F.) ;ABC Unified;-1.432087446
2126;Niemes (John H.) ;ABC Unified;0.4793937818
2127;Burbank (Luther) ;ABC Unified;-0.828929697
2128;Palms ;ABC Unified;-1.4733165328
2130;Elliott (William F) ;ABC Unified;1.2084902913
2137;Stowers(Cecil B.) ;ABC Unified;0.8004203317
2138;Cerritos ;ABC Unified;0.0567432537
2139;Juarez (Benito) ;ABC Unified;-2.3037786837
2140;Bragg ;ABC Unified;0.5786009368
2141;Leal (Frank C.) ;ABC Unified;-0.7131500949
2142;Gonsalves (Joe A.) ;ABC Unified;0.8394984433
2143;Wittmann (Helen) ;ABC Unified;-0.5481789662
2144;Nixon (Patricia) ;ABC Unified;-0.805542334
5691;Bowman Charter;Ackerman Charter;3.3587518605
4299;Albert Einstein Academy ;Acton-Agua Dulce Unified;-0.7575552322
4301;Hope Charter Academy;Acton-Agua Dulce Unified;-3.4526536985
4302;Academy of Arts and Sciences: Los Angeles (K-8);Acton-Agua Dulce Unified;-3.9531460636
4308;Albert Einstein Academy for Letters, Arts & Scienc;Acton-Agua Dulce Unified;1.3293667995
4312;Meadowlark ;Acton-Agua Dulce Unified;0.4373986569
6777;George Visual and Performing Arts Magnet and Middl;Adelanto ;1.4746363214
6779;Theodore Vick ;Adelanto ;-5.4612887863
6780;Victoria Magathan ;Adelanto ;-0.4729261444
6781;West Creek ;Adelanto ;-2.8426007589
6784;Gus Franklin;Adelanto ;0.2028184649
6788;Eagle Ranch;Adelanto ;0.7113063776
6790;Donald F. Bradach ;Adelanto ;-1.3807849745
6792;Morgan/Kincaid Preparatory School of Integrated St;Adelanto ;-0.2394164765
3;FAME Public Charter;Alameda County Office of Education;-1.4205277631
6;Community School for Creative Education;Alameda County Office of Education;0.2546654551
8;Urban Montessori Charter;Alameda County Office of Education;3.1178369236
17;Ruby Bridges ;Alameda Unified;0.9606714057
18;Nea Community Learning Center;Alameda Unified;0.3515347604
20;Maya Lin;Alameda Unified;0.8373525866
27;Donald D. Lum ;Alameda Unified;-0.5636476039
28;Edison ;Alameda Unified;0.6181229227
29;Frank Otis ;Alameda Unified;0.4702539328
30;Franklin ;Alameda Unified;-0.2285927562
31;Henry Haight ;Alameda Unified;-2.2969391227
34;William G. Paden ;Alameda Unified;-0.0936779078
35;Amelia Earhart ;Alameda Unified;0.5399533986
36;Bay Farm;Alameda Unified;-0.2441999312
40;Cornell ;Albany City Unified;-0.6087682354
42;Marin ;Albany City Unified;0.2224947452
43;Ocean View ;Albany City Unified;-0.0493649527
9835;Alexander Valley ;Alexander Valley Union ;2.1454227012
4343;Brightwood ;Alhambra Unified;2.8892379249
4344;Emery Park ;Alhambra Unified;-0.3859600661
4345;Fremont ;Alhambra Unified;-2.8169192145
4346;Garfield ;Alhambra Unified;0.8506500513
4347;Granada ;Alhambra Unified;-0.190905612
4348;Marguerita ;Alhambra Unified;0.9098842784
4349;Martha Baldwin ;Alhambra Unified;-0.9028776144
4350;Monterey Highlands ;Alhambra Unified;2.3997017285
4351;Park ;Alhambra Unified;-0.4842230154
4352;Ramona ;Alhambra Unified;-2.3551451595
