,snmae,dnmae,z,sname,dname,z
1750,Aloha ,ABC Unified,-0.092551173,Aloha ,ABC Unified,-1.056274662
1751,Charles J. Carver ,ABC Unified,1.782198924,Carver (Charles J.) ,ABC Unified,1.432376072
1754,John F. Kennedy ,ABC Unified,-0.376045042,Kennedy (John F.) ,ABC Unified,-1.432087446
1755,John H. Niemes ,ABC Unified,1.902916309,Niemes (John H.) ,ABC Unified,0.479393782
1756,Luther Burbank ,ABC Unified,0.822797941,Burbank (Luther) ,ABC Unified,-0.828929697
1757,Palms ,ABC Unified,0.691372239,Palms ,ABC Unified,-1.473316533
1759,William F. Elliott ,ABC Unified,-1.795361547,Elliott (William F) ,ABC Unified,1.208490291
1760,Willow ,ABC Unified,0.388285276,,,
1766,Cecil B. Stowers ,ABC Unified,-2.2332367,Stowers(Cecil B.) ,ABC Unified,0.800420332
1767,Cerritos ,ABC Unified,-3.926364055,Cerritos ,ABC Unified,0.056743254
1768,Benito Juarez ,ABC Unified,0.774791525,Juarez (Benito) ,ABC Unified,-2.303778684
1769,Bragg ,ABC Unified,-0.228663667,Bragg ,ABC Unified,0.578600937
1770,Frank C. Leal ,ABC Unified,-0.569568624,Leal (Frank C.) ,ABC Unified,-0.713150095
1771,Joe A. Gonsalves ,ABC Unified,-1.391192823,Gonsalves (Joe A.) ,ABC Unified,0.839498443
1772,Helen Wittmann ,ABC Unified,-0.028909393,Wittmann (Helen) ,ABC Unified,-0.548178966
1773,Patricia Nixon ,ABC Unified,0.137069987,Nixon (Patricia) ,ABC Unified,-0.805542334
4919,Bowman Charter,Ackerman Charter,-0.01718867,Bowman Charter,Ackerman Charter,3.358751861
3760,Agua Dulce ,Acton-Agua Dulce Unified,0.067832961,,,
3762,Meadowlark ,Acton-Agua Dulce Unified,-0.579435082,Meadowlark ,Acton-Agua Dulce Unified,0.437398657
5910,West Creek ,Adelanto ,-1.284306616,West Creek ,Adelanto ,-2.842600759
5915,Eagle Ranch,Adelanto ,1.708467538,Eagle Ranch,Adelanto ,0.711306378
5919,Morgan/Kincaid Preparatory School of Int,Adelanto ,0.36868405,Morgan/Kincaid Preparatory School of Integrated St,Adelanto ,-0.239416477
3,FAME Public Charter,Alameda County Office of Educa,-2.077411519,FAME Public Charter,Alameda County Office of Education,-1.420527763
5,Aspire California College Preparatory Ac,Alameda County Office of Educa,-0.526440191,,,
6,Community School for Creative Education,Alameda County Office of Educa,0.855734837,Community School for Creative Education,Alameda County Office of Education,0.254665455
7,Urban Montessori Charter,Alameda County Office of Educa,1.54542278,Urban Montessori Charter,Alameda County Office of Education,3.117836924
13,Ruby Bridges ,Alameda Unified,0.301512784,Ruby Bridges ,Alameda Unified,0.960671406
14,Nea Community Learning Center,Alameda Unified,0.614441376,Nea Community Learning Center,Alameda Unified,0.35153476
16,Maya Lin,Alameda Unified,0.695235798,Maya Lin,Alameda Unified,0.837352587
21,Donald D. Lum ,Alameda Unified,-1.387549131,Donald D. Lum ,Alameda Unified,-0.563647604
22,Edison ,Alameda Unified,0.254118503,Edison ,Alameda Unified,0.618122923
23,Frank Otis ,Alameda Unified,-3.510046493,Frank Otis ,Alameda Unified,0.470253933
24,Franklin ,Alameda Unified,0.030172245,Franklin ,Alameda Unified,-0.228592756
25,Henry Haight ,Alameda Unified,-2.604389589,Henry Haight ,Alameda Unified,-2.296939123
28,William G. Paden ,Alameda Unified,0.699344263,William G. Paden ,Alameda Unified,-0.093677908
29,Amelia Earhart ,Alameda Unified,-0.591948087,Amelia Earhart ,Alameda Unified,0.539953399
30,Bay Farm ,Alameda Unified,-0.338155912,Bay Farm,Alameda Unified,-0.244199931
33,Cornell ,Albany City Unified,-1.273828051,Cornell ,Albany City Unified,-0.608768235
35,Marin ,Albany City Unified,-0.431086506,Marin ,Albany City Unified,0.222494745
36,Ocean View ,Albany City Unified,0.034568812,Ocean View ,Albany City Unified,-0.049364953
8541,Alexander Valley ,Alexander Valley Union Element,-1.941683073,Alexander Valley ,Alexander Valley Union ,2.145422701
3784,Brightwood ,Alhambra Unified,1.947103911,Brightwood ,Alhambra Unified,2.889237925
3785,Emery Park ,Alhambra Unified,-0.027470467,Emery Park ,Alhambra Unified,-0.385960066
3786,Fremont ,Alhambra Unified,-2.341119297,Fremont ,Alhambra Unified,-2.816919215
3787,Garfield ,Alhambra Unified,-3.097588707,Garfield ,Alhambra Unified,0.850650051
3788,Granada ,Alhambra Unified,0.083421455,Granada ,Alhambra Unified,-0.190905612
3789,Marguerita ,Alhambra Unified,-0.884816664,Marguerita ,Alhambra Unified,0.909884278
3790,Martha Baldwin ,Alhambra Unified,-3.954968889,Martha Baldwin ,Alhambra Unified,-0.902877614
